english	japanese
new stories start with a walk	新しい物語が散歩から始まる
clear water flows under stone	澄んだ水が石の下を流れる
old streets shine after sunset	古い通りが日没後に輝く
the clock ticks in the hallway	時計が廊下で時を刻む
a candle burns beside the bed	ろうそくがベッドのそばで燃える
the river bends around the town	川が町の周りを曲がる
fresh snow covers the station	新雪が駅を覆う
a boat waits near the wooden pier	船が木の桟橋の近くで待つ
the baker sweeps the front step	パン屋が玄関の段を掃く
blue fabric dries on the balcony	青い布がバルコニーで乾く
a student solves a hard problem	学生が難しい問題を解く
the phone rings in the office	電話が事務所で鳴る
soft music plays during dinner	柔らかな音楽が夕食中に流れる
the road climbs past the orchard	道が果樹園を過ぎて上る
a small shop sells paper flowers	小さな店が紙の花を売る
the moon rises above the roofs	月が屋根の上に昇る
people gather near the fountain	人々が噴水の近くに集まる
a notebook rests beside the lamp	ノートがランプのそばに置かれる
the bridge crosses a quiet canal	橋が静かな運河を渡る
evening shadows stretch across town	夕方の影が町に伸びる
the door closes with a soft sound	扉が柔らかな音で閉まる
a lantern glows beside the gate	門のそばでランタンが光る
quiet footsteps pass the old wall	静かな足音が古い壁を通り過ぎる
silver rain marks the empty road	銀色の雨が空の道を濡らす
the valley brightens after the storm	嵐の後に谷が明るくなる
winter light rests on the garden	冬の光が庭に降りる
warm clouds drift above the harbor	暖かい雲が港の上を漂う
a cold morning follows heavy rain	大雨の後に寒い朝が来る
the wind shakes the station sign	風が駅の看板を揺らす
thin ice forms beside the river	薄い氷が川のそばにできる
late sunlight reaches the kitchen	遅い日差しが台所に届く
the weather report sounds uncertain	天気予報が不確かに聞こえる
distant thunder crosses the plain	遠い雷が平原を渡る
the server restarts before midnight	サーバーが真夜中前に再起動する
new software scans the archive	新しいソフトウェアが資料庫を調べる
a small script cleans the dataset	小さなスクリプトがデータセットを整える
the monitor shows a green signal	モニターが緑の信号を示す
the engine parses simple commands	エンジンが簡単な命令を解析する
slow queries block the dashboard	遅いクエリがダッシュボードを止める
the device sends a short message	装置が短いメッセージを送る
fresh logs reveal a timing error	新しいログがタイミングの誤りを示す
the terminal waits for input	端末が入力を待つ
a backup copies the project files	バックアップがプロジェクトのファイルをコピーする
the printer warms before work	プリンターが作業前に温まる
a tablet displays the schedule	タブレットが予定を表示する
the signal fades behind the hill	信号が丘の後ろで弱くなる
the antenna catches a distant call	アンテナが遠い呼び出しを受ける
the program saves a draft	プログラムが下書きを保存する
the laptop charges on the desk	ノートパソコンが机の上で充電する
the speaker plays a clear tone	スピーカーが澄んだ音を鳴らす
a cable lies under the chair	ケーブルが椅子の下にある
the scanner reads a thin label	スキャナーが薄いラベルを読む
the server returns a small file	サーバーが小さなファイルを返す
the browser reloads the form	ブラウザーがフォームを再読み込みする
the application opens a dialog	アプリケーションがダイアログを開く
the database indexes the table	データベースが表に索引を作る
the robot checks every package	ロボットがすべての荷物を確認する
the drone follows the river line	ドローンが川筋をたどる
the sensor measures room pressure	センサーが部屋の圧力を測る
the camera saves a night image	カメラが夜の画像を保存する
the network drops old connections	ネットワークが古い接続を切る
a bright comet crosses the sky	明るい彗星が空を横切る
the stars fade before morning	星が朝の前に薄れる
a telescope points toward saturn	望遠鏡が土星へ向く
the planet turns in silence	惑星が静かに回る
moonlight covers the forest path	月明かりが森の道を覆う
the eclipse darkens the valley	日食が谷を暗くする
a satellite circles above earth	衛星が地球の上を回る
the rocket rises through clouds	ロケットが雲を抜けて上昇する
astronauts test the radio link	宇宙飛行士が無線接続を試す
the observatory opens at night	天文台が夜に開く
the ocean reflects the pale moon	海が淡い月を映す
the tide pulls shells from sand	潮が砂から貝殻を引く
a fisherman repairs the old net	漁師が古い網を直す
the harbor bell rings at dawn	港の鐘が夜明けに鳴る
small boats leave after sunrise	小舟が日の出後に出る
the lighthouse guides the ferry	灯台がフェリーを導く
salt air fills the narrow street	潮の空気が狭い通りを満たす
the coast curves around black rocks	海岸が黒い岩の周りを曲がる
sea birds follow the fishing boat	海鳥が漁船を追う
the waves erase footprints quickly	波が足跡をすぐに消す
the teacher writes on the board	先生が黒板に書く
students read a short passage	学生たちが短い文章を読む
the classroom grows quiet	教室が静かになる
a child counts red blocks	子どもが赤いブロックを数える
the lesson ends before lunch	授業が昼食前に終わる
the school bell rings twice	学校の鐘が二回鳴る
a pencil rolls across the desk	鉛筆が机の上を転がる
the notebook holds careful notes	ノートが丁寧なメモを保つ
the library lends a blue book	図書館が青い本を貸す
a teacher answers a question	先生が質問に答える
the doctor checks the chart	医者がカルテを確認する
a nurse brings clean water	看護師が清潔な水を持ってくる
the clinic opens early today	診療所が今日は早く開く
the patient waits in a chair	患者が椅子で待つ
the medicine cools in the cabinet	薬が戸棚で冷える
a quiet room helps recovery	静かな部屋が回復を助ける
the ambulance turns at the corner	救急車が角を曲がる
the hospital lights stay bright	病院の明かりが明るく残る
a doctor washes both hands	医者が両手を洗う
the chart shows steady progress	カルテが安定した進歩を示す
the chef cuts fresh vegetables	料理人が新鮮な野菜を切る
rice steams in the kitchen	ご飯が台所で蒸される
the waiter carries warm plates	給仕が暖かい皿を運ぶ
a cook tastes the soup	料理人がスープの味を見る
the restaurant closes after dinner	レストランが夕食後に閉まる
sweet fruit chills in a bowl	甘い果物が鉢で冷える
the menu changes every week	メニューが毎週変わる
the oven bakes a small cake	オーブンが小さなケーキを焼く
the tea smells like flowers	お茶が花のように香る
the table waits by the window	テーブルが窓辺で待つ
the runner crosses the finish line	走者がゴールラインを越える
a coach watches the practice	コーチが練習を見る
the team celebrates after victory	チームが勝利後に祝う
the ball rolls into the corner	ボールが隅へ転がる
swimmers train before sunrise	泳者たちが日の出前に練習する
the bicycle climbs the hill	自転車が丘を上る
a player ties loose shoes	選手が緩い靴ひもを結ぶ
the crowd cheers in the stadium	観客が競技場で歓声を上げる
the whistle ends the match	笛が試合を終わらせる
the trophy shines on the shelf	トロフィーが棚で輝く
the tailor measures a sleeve	仕立て屋が袖を測る
red thread crosses white cloth	赤い糸が白い布を横切る
a button falls under the table	ボタンがテーブルの下に落ちる
the jacket hangs by the mirror	上着が鏡のそばに掛かる
the dress dries in morning light	ドレスが朝の光で乾く
soft wool warms the basket	柔らかい羊毛がかごを暖める
the needle moves through fabric	針が布を通る
the scarf wraps around the neck	マフラーが首に巻かれる
the closet holds winter coats	押し入れが冬のコートを保管する
new shoes wait near the door	新しい靴が扉の近くで待つ
the forest smells after rain	森が雨の後に香る
a narrow trail enters the trees	細い道が木々の中へ入る
pine needles cover the ground	松葉が地面を覆う
the waterfall echoes in the gorge	滝が峡谷に響く
a hiker rests beside the stream	登山者が小川のそばで休む
wild flowers grow near the rocks	野の花が岩の近くに育つ
the mountain casts a long shadow	山が長い影を落とす
the campfire fades before dawn	たき火が夜明け前に弱まる
